Class Label,Confusion Matrix,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1 Score,MCC
5S_rRNA,"[[2771    2]
 [  12  188]]",188,2771,2,12,0.995,0.989,0.94,0.964,0.962
5_8S_rRNA,"[[2762   11]
 [   7  193]]",193,2762,11,7,0.994,0.946,0.965,0.955,0.952
tRNA,"[[2750   23]
 [   8  192]]",192,2750,23,8,0.99,0.893,0.96,0.925,0.92
ribozyme,"[[2747   26]
 [  17  183]]",183,2747,26,17,0.986,0.876,0.915,0.895,0.887
CD-box,"[[2716   57]
 [  40  160]]",160,2716,57,40,0.967,0.737,0.8,0.767,0.751
miRNA,"[[2686   87]
 [  77  123]]",123,2686,87,77,0.945,0.586,0.615,0.6,0.571
Intron_gpI,"[[2767    6]
 [  19  181]]",181,2767,6,19,0.992,0.968,0.905,0.935,0.932
Intron_gpII,"[[2765    8]
 [   8  192]]",192,2765,8,8,0.995,0.96,0.96,0.96,0.957
scaRNA,"[[2742   31]
 [  31  169]]",169,2742,31,31,0.979,0.845,0.845,0.845,0.834
HACA-box,"[[2733   40]
 [  63  137]]",137,2733,40,63,0.965,0.774,0.685,0.727,0.71
riboswitch,"[[2728   45]
 [  43  157]]",157,2728,45,43,0.97,0.777,0.785,0.781,0.765
IRES,"[[2748   24]
 [  38  163]]",163,2748,24,38,0.979,0.872,0.811,0.84,0.83
leader,"[[2755   18]
 [  17  183]]",183,2755,18,17,0.988,0.91,0.915,0.913,0.906
mRNA,"[[2572   29]
 [  27  345]]",345,2572,29,27,0.981,0.922,0.927,0.925,0.914
